"k","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
5,0.696163340336134,0.68010989010989,0.612536764705882,0.0829762875651283,0.109936109808354,0.109311695893727
7,0.715581468164189,0.702417582417582,0.611102941176471,0.0807565369561767,0.123031325299043,0.114992733068477
9,0.725509352779573,0.73478021978022,0.604264705882353,0.084450197033733,0.120590820083038,0.115820783083155
11,0.728955740950226,0.755164835164835,0.611102941176471,0.0812431011636909,0.105854180214311,0.121225675801186
13,0.735257049935359,0.755714285714286,0.602941176470588,0.0825120040528741,0.111418005118209,0.124516295253752
