"mtry","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
2,0.735344907407407,0.61625,0.705777777777778,0.105983692416818,0.173715232525742,0.138979588790985
3,0.735760802469136,0.627083333333333,0.700444444444444,0.107312719887957,0.172936399358176,0.146155965598688
4,0.731956018518519,0.635416666666667,0.708777777777778,0.107939038967724,0.172315592788044,0.139783159169765
5,0.732207561728395,0.644166666666667,0.696888888888889,0.110585426855194,0.164154989510279,0.138697556201511
7,0.736536265432099,0.648194444444444,0.698222222222222,0.107770121683001,0.171575382348862,0.133021708414791
