"mtry","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
2,0.807060314685315,0.769763257575758,0.716676923076923,0.0605224165903254,0.075864232652098,0.0994674048547255
3,0.808040391899767,0.768825757575758,0.714369230769231,0.061310802342426,0.0745834509933667,0.101529094715237
5,0.807190377331002,0.768863636363636,0.713938461538462,0.0613328005169482,0.0749617046662929,0.0982925949596192
7,0.805052717074592,0.772282196969697,0.708953846153846,0.0614498393206166,0.0758471328192394,0.0963726505043118
9,0.804488352272727,0.766988636363636,0.708169230769231,0.0627862463316611,0.0770796669201578,0.0982514500599655
