"k","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
5,0.69822762345679,0.642222222222222,0.640555555555556,0.118960511909569,0.160218511159352,0.155446289987753
7,0.703007716049383,0.677777777777778,0.646555555555556,0.113688846477639,0.154647522100362,0.140870886131313
9,0.703989969135802,0.695972222222222,0.642222222222222,0.115949077932947,0.152438085268673,0.143417744569974
11,0.709365740740741,0.701111111111111,0.640222222222222,0.113347911368948,0.15338848452682,0.145187418384529
13,0.710087962962963,0.703888888888889,0.642444444444444,0.11336772097251,0.149247290460962,0.150398564307157
