"k","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
5,0.710884447843823,0.740426136363636,0.556153846153846,0.0647195708782051,0.0748176762156411,0.100706131599446
7,0.704152855477855,0.771363636363636,0.510107692307692,0.0660004136818849,0.0766091656647599,0.104328473289375
9,0.702658340617716,0.781505681818182,0.492384615384615,0.0725340088126589,0.0779270049063354,0.0984953746736772
11,0.70228902972028,0.784659090909091,0.491215384615385,0.0685952678344615,0.0748431090833737,0.0974815976742453
13,0.697856359265734,0.784090909090909,0.485076923076923,0.0659542986245051,0.0780845976866581,0.0912093421956298
