"k","ROC","Sens","Spec","ROCSD","SensSD","SpecSD"
5,0.735365385046268,0.621113127646703,0.726049382716049,0.0405622508523062,0.0630586305961482,0.0512700511314494
7,0.747041200809602,0.617132486388385,0.731358024691358,0.0407376736595341,0.0650777609551696,0.0495109943824189
9,0.750164889127886,0.619966727162734,0.745432098765432,0.0397544017393464,0.0654828091367915,0.0505772716642344
11,0.755894109475477,0.633744706594071,0.740246913580247,0.0389685043936282,0.0658802197498015,0.0551256034556061
13,0.758445083014048,0.647014519056261,0.732592592592593,0.0395589734653797,0.0670063893036187,0.0541193869231133
